MSA,NUM,PercentbyFemale,HighSchool,Bachelor,MedianIncome,Poverty,Insurance,Unmarried,White,Black,AmericanIndian,Asian
23900,0,0,86,20.4,59492,5.8,98.7,44,0.926992197,0.015517853,0.001803027,0.007438717
24020,7,1.09E-04,89.2,23.3,54086,9.1,98.55,48.8,0.95424659,0.019732808,0.001831999,0.006644879
24140,1,1.59E-05,81.7,16.4,41731,16.4,98.98,52.5,0.570123681,0.312590167,0.001531828,0.008777617
24220,2,4.14E-05,91.3,28.9,47973,7.1,99,52.3,0.909262836,0.0197413,0.020691957,0.016606155
24260,0,0,85,17.9,49794,9.7,99.75,44.3,0.939211676,0.0157689,0.006571384,0.008919171
24300,8,1.08E-04,89.6,25.7,49471,10.6,99.3,46.2,0.91421808,0.006620001,0.008444571,0.006708177
24340,37,7.31E-05,89.7,29.1,52108,9.9,100.16,46.9,0.860134386,0.06452995,0.004020358,0.022094951
24420,0,0,88.4,17,37733,14.3,99.93,48.5,0.938948818,0.003611853,0.016211058,0.00643852
24500,8,1.96E-04,90.8,24.6,44963,11.1,97.9,46.7,0.892123351,0.012337511,0.046323863,0.007265287
24540,9,6.97E-05,85.6,25.9,57180,10.5,101.87,45.1,0.869785146,0.009795966,0.009807559,0.013312466
24580,13,8.40E-05,90.3,24.3,52947,7.9,99.97,46.2,0.899373514,0.019371182,0.021321257,0.023404145
24660,16,4.21E-05,84.7,26.6,43608,13.5,100.08,52.4,0.65770146,0.258172199,0.004919613,0.031025191
24780,1,1.11E-05,85.8,28.1,40718,15,100.69,60.1,0.592626917,0.339502009,0.002915212,0.016582104
24860,116,0.000270872,83.7,26,45120,12.6,100.33,49.7,0.787052741,0.165821424,0.002549513,0.015538005
25020,0,0,70.6,18.5,16427,47.9,98.8,63.5,0.608366893,0.151193124,0.004279618,0
25060,27,1.42E-04,85.9,20.5,45479,14.7,99.68,51.7,0.735070978,0.205679278,0.003426966,0.02421794
25180,6,4.74E-05,85.9,19.6,54592,9.3,99.66,48.7,0.860136009,0.089861434,0.002245848,0.012885108
25220,0,0,80.1,19.4,40654,17.7,100.47,54.9,0.671324339,0.300786695,0.003668528,0.006962051
25260,12,1.80E-04,71,12.9,48133,17.5,99.45,52.9,0.717824065,0.06754015,0.012331528,0.036922124
25420,12,4.25E-05,89.7,29.1,57139,7.3,99.4,49.1,0.825074417,0.100787265,0.001374273,0.028961129
25500,3,4.57E-05,81,27,47192,9.1,101.15,54.2,0.910591352,0.037410004,0.002215896,0.018673459
25540,104,1.67E-04,89.5,35.7,68404,7.3,98.89,52.2,0.772130428,0.10787613,0.001859323,0.041185188
25620,4,5.31E-05,86.1,27.8,41297,17.2,100.06,53.8,0.680675922,0.28754278,0.002166593,0.00951507
25860,13,7.06E-05,79.1,17,40129,12.8,98.96,49.4,0.853523036,0.067544396,0.003541828,0.025174142
25940,0,0,89.7,34.4,54246,9.4,100.48,45.7,0.69775427,0.225867835,0.002201696,0.010762101
25980,1,2.47E-05,89.7,19,43722,15.9,97.47,46,0.50492617,0.382320662,0.004589444,0.018133293
26140,0,0,86,16.6,39100,10.9,98.74,45.5,0.93310939,0.029840102,0.003886916,0.015198197
26300,5,1.00E-04,86.8,20.9,39162,15.2,98.42,49.5,0.850290532,0.082633329,0.005997079,0.009083659
26380,8,7.59E-05,74.5,14.1,50250,11.7,99.77,50.8,0.749715995,0.15978104,0.039223863,0.008906017
26420,284,9.32E-05,81.1,29.4,57712,13,101.94,49.7,0.65745637,0.172485545,0.004249168,0.067767014
26580,15,8.03E-05,84.6,18.6,41743,14.2,98.87,48.8,0.95224113,0.021091216,0.001688833,0.005313243
26620,15,6.97E-05,88.3,35.2,55774,9.9,100.86,48.8,0.716549325,0.217829525,0.006227873,0.022266296
26820,22,0.000325574,90.3,25.1,50841,9.1,100.49,40.9,0.915261029,0.006300323,0.004734518,0.005691811
26900,161,1.65E-04,88.4,30.3,52147,10.8,100.17,50.6,0.780425726,0.145559017,0.002122089,0.022025897
26980,6,7.67E-05,94,46.2,53563,6.5,101.04,54.4,0.867034927,0.042920933,0.002405882,0.04832294
27060,3,5.78E-05,93.1,49.3,51393,8.6,100.32,61.4,0.823222841,0.038848147,0.003314755,0.095355432
27100,1,1.28E-05,89.1,18.8,46615,12.9,98.99,51.4,0.876197494,0.083552952,0.004971085,0.006788404
27140,41,1.38E-04,85.6,28.7,44850,15.3,99.33,56.2,0.486076649,0.483866399,0.00130097,0.010699778
27180,3,4.39E-05,84.1,22,40959,14.2,99.38,54.5,0.66238422,0.306943718,0.002315598,0.009223928
27260,50,7.15E-05,88.9,27.8,52258,10.9,100.43,52,0.707460344,0.21637565,0.003007458,0.034933009
27340,1,1.21E-05,90.2,18,45450,12.2,99.05,46.1,0.750070859,0.162036291,0.007085892,0.01933476
27500,5,6.13E-05,87.7,19.4,49435,10.6,99.21,48.4,0.903801179,0.036458886,0.002045589,0.010789236
27620,9,1.22E-04,88.1,25.2,51017,8.9,99.11,48,0.885535623,0.073905189,0.003639927,0.008146504
27740,12,1.17E-04,83.5,23.8,38202,15,98.96,47.6,0.939634137,0.027782927,0.00314155,0.00942465
27780,3,4.17E-05,88.8,18.3,41730,9.8,97.87,50.8,0.939121644,0.035556835,0.000870493,0.005061496
27860,3,4.77E-05,82.5,21.1,39524,17.3,99.86,50.1,0.844349802,0.123533196,0.003395738,0.009576469
27900,7,7.83E-05,84.7,19.4,40954,12.5,99.24,46.5,0.909007442,0.016401015,0.017450315,0.010624162
27980,0,0,90.2,25.7,63505,7.4,100.84,49.1,0.34834465,0.004537217,0.002042067,0.262673576
28020,8,4.78E-05,90.8,30.1,45634,12.4,99.85,53.1,0.834795838,0.095022211,0.005355078,0.019326964
28100,2,3.47E-05,86.4,17.1,50102,12.7,98.46,53,0.796160756,0.147613527,0.002088662,0.010222053
28140,82,7.94E-05,90.6,33.3,56815,8.9,99.93,48.9,0.793213045,0.125259653,0.004380098,0.023868104
28420,10,7.78E-05,83.5,24.9,58895,11.5,101.65,46.9,0.74972683,0.015884092,0.008289019,0.024951405
28660,19,9.16E-05,88.9,20.3,49973,11.8,96.63,48.2,0.684448619,0.194273954,0.006853587,0.025992181
28700,12,7.55E-05,82.6,18.6,39008,13.1,98.83,44.8,0.955003447,0.018601294,0.003472975,0.005091323
28740,15,1.64E-04,88.7,29.9,58590,7.1,98.58,51.8,0.872955636,0.057060949,0.001817822,0.017848709
28940,43,9.97E-05,86.2,26.4,44666,11.4,99.73,47.5,0.903083006,0.059526746,0.001904495,0.013142915
29020,7,1.63E-04,88.8,20,43590,11.9,98.96,46.3,0.88618878,0.071755541,0.002318981,0.011353343
29100,1,1.46E-05,93.5,28.8,51576,6.8,99.31,50.3,0.925268917,0.013898091,0.003781591,0.037093833
29180,25,1.04E-04,80.2,20,46755,14.1,100.08,52.9,0.710308447,0.245549494,0.003908124,0.014800348
29200,8,7.95E-05,90.3,32.4,45062,10.7,100.23,55.5,0.874687133,0.036742276,0.001295463,0.056496871
29340,16,1.56E-04,84.5,19.7,44204,12.8,99.76,51.6,0.719414728,0.240174324,0.00375405,0.011361991
29420,1,9.97E-06,83.8,11.9,39200,13.1,100.07,48.7,0.889984133,0.011324871,0.016873265,0.010412535
29460,28,8.99E-05,82.4,18.1,43113,13.7,100.43,50.7,0.788887341,0.148134918,0.002877297,0.016503494
29540,11,4.11E-05,83.9,24.2,56483,7.3,99.29,43.9,0.894933366,0.037652922,0.001798183,0.019640516
29620,15,6.29E-05,92,32.1,49896,10.6,99.76,54.1,0.819844257,0.083872646,0.003666822,0.038432853
29700,1,7.65E-06,64.2,17.2,39449,26.8,101.53,52.1,0.93521538,0.004312696,0.003629885,0.005835286
29740,8,7.44E-05,77.5,26.6,37933,21.5,100.37,53,0.893197585,0.015655262,0.011611223,0.011260803
29820,63,6.41E-05,83.9,22.1,52873,11.5,101.06,54.2,0.665696979,0.105756162,0.005807504,0.088417618
29940,2,3.56E-05,95.1,49.6,49508,8.1,100.97,59.6,0.849371714,0.036797077,0.021914268,0.040575706
30020,6,9.48E-05,88.8,19.6,46051,13.2,97.68,52.4,0.656890262,0.163295273,0.055668148,0.020886071
30140,5,7.26E-05,85.5,19.4,54818,7.5,98.96,45.5,0.889860205,0.017840802,0.001190379,0.010825007
30300,4,1.28E-04,89.8,19.9,44887,8.1,99.48,48.1,0.914985309,0.003917728,0.038410056,0.009467842
30340,3,5.46E-05,87.9,18.8,44921,11.6,99,52.1,0.926919003,0.018135533,0.001635171,0.008008622
30460,45,1.85E-04,87.3,34.4,49441,12,100.44,51.9,0.81678466,0.108400059,0.002496349,0.024691925
30620,13,0.000247214,88.4,17.2,42823,13.6,98.37,52.3,0.834723075,0.116237783,0.002719675,0.007479107
30700,2,1.31E-05,93.6,35.5,52049,9.2,100.57,50.8,0.886252555,0.036521388,0.006843888,0.035588871
30780,30,8.22E-05,88.8,27.4,48808,10.5,100.21,51.1,0.728358849,0.224388855,0.003601397,0.014883423
30860,7,1.10E-04,92.4,34.7,49056,11,101.08,42.1,0.918295506,0.005772472,0.005536218,0.018577436
30980,8,7.43E-05,81.8,17.1,45819,13.2,98.71,49.7,0.77243438,0.174521601,0.0044567,0.009544767
31020,3,5.80E-05,87.4,15.4,47596,12.4,98.84,47.8,0.908108902,0.005592009,0.011663892,0.0147488
31080,612,9.33E-05,78.3,31.4,60252,12.8,100.48,55.4,0.555431752,0.068234516,0.004905969,0.149267855
31140,82,1.29E-04,87.3,26.3,49753,11.1,99.62,51.5,0.810624317,0.139003759,0.001633089,0.016567059
31180,6,4.03E-05,83.9,27.3,44245,13.7,100.56,55.3,0.795416426,0.069741622,0.005157369,0.019054086
31340,7,5.30E-05,84.8,23.2,46339,10.8,99.36,50.2,0.783953315,0.171196925,0.002866604,0.013576995
31420,16,1.32E-04,82.1,20.4,40257,18.1,98.73,56.5,0.528031628,0.436645679,0.001955194,0.012932705
31460,7,8.94E-05,68.5,13.6,45625,17.5,91.86,52,0.818469971,0.033770264,0.017400205,0.020596295
31540,13,4.21E-05,94.1,41.5,60694,6.4,100.32,49.9,0.876334446,0.043031242,0.002446178,0.041174622
31700,22,1.08E-04,90.8,35,69829,5.8,99.04,47.9,0.909466515,0.021879672,0.001586998,0.033951301
31740,0,0,95.2,40.6,46423,7.7,99.56,55.8,0.86581909,0.053363709,0.00513375,0.036902112
31860,2,4.10E-05,93.6,31,53041,7.7,98.95,53.4,0.930777685,0.028278533,0.00303021,0.016414492
31900,4,6.56E-05,86.2,14.9,41835,12.3,98.11,51.6,0.872255586,0.08735118,0.002277387,0.006289155
32420,0,0,67.2,20.9,16240,42.6,97.82,64.3,0.560769614,0.037272797,0.000661477,0.001361301
32580,13,3.21E-05,61.8,15.9,34146,30.8,101.79,47.7,0.888319172,0.005735816,0.003383309,0.010414269
32780,4,3.81E-05,89.1,24.8,44005,12.7,100.29,48.5,0.918495298,0.006991132,0.008297703,0.009731032
32820,65,9.39E-05,85.4,25.6,47497,15,99.75,57.5,0.483799086,0.455633212,0.002368741,0.019342594
32900,15,1.17E-04,66.7,12.6,42591,21.1,100.77,53.1,0.668462778,0.037150135,0.009168673,0.076391439
33100,182,6.23E-05,83.7,28.9,48148,13.2,101.29,56.3,0.715954442,0.211453178,0.00181785,0.023250432
33140,9,1.68E-04,86.5,17.3,47538,13.1,99.16,51,0.851639565,0.106827778,0.002785015,0.00552511
33220,0,0,92.2,32.3,53076,9.5,99.09,43.5,0.938789628,0.013859402,0.004258009,0.022017605
33260,6,8.06E-05,81.4,24,62356,8.1,101.79,46.8,0.831566437,0.063621855,0.005242962,0.013290774
33340,69,8.61E-05,89.6,32.2,53479,11.3,99.63,53.1,0.748863433,0.16568789,0.003931127,0.029872083
33460,105,6.12E-05,92.9,38.4,66940,6.9,100.29,48.2,0.816179625,0.072833114,0.006571438,0.057849587
