geoid,name,population
27340,"Jacksonville, NC",186311
13980,"Blacksburg-Christiansburg-Radford, VA",181747
20940,"El Centro, CA",180191
28740,"Kingston, NY",180143
39820,"Redding, CA",179533
33740,"Monroe, LA",179238
27900,"Joplin, MO",177211
24780,"Greenville, NC",175842
13460,"Bend-Redmond, OR",175268
17860,"Columbia, MO",174974
20100,"Dover, DE",173533
39460,"Punta Gorda, FL",173115
34740,"Muskegon, MI",172790
45460,"Terre Haute, IN",171019
49700,"Yuba City, CA",170955
47940,"Waterloo-Cedar Falls, IA",170612
10180,"Abilene, TX",169578
36780,"Oshkosh-Neenah, WI",169546
43580,"Sioux City, IA-NE-SD",169069
14540,"Bowling Green, KY",168436
13740,"Billings, MT",168283
33260,"Midland, TX",166718
26980,"Iowa City, IA",166498
20700,"East Stroudsburg, PA",166397
20740,"Eau Claire, WI",165636
14020,"Bloomington, IN",165577
27980,"Kahului-Wailuku-Lahaina, HI",164726
39380,"Pueblo, CO",163591
27500,"Janesville-Beloit, WI",161448
44300,"State College, PA",160580
27100,"Jackson, MI",159494
36220,"Odessa, TX",159436
15500,"Burlington, NC",158276
12220,"Auburn-Opelika, AL",156993
47220,"Vineland-Bridgeton, NJ",155854
41100,"St. George, UT",155602
31460,"Madera, CA",154998
35660,"Niles-Benton Harbor, MI",154636
10780,"Alexandria, LA",154484
16540,"Chambersburg-Waynesboro, PA",153638
10500,"Albany, GA",153526
12620,"Bangor, ME",152692
19460,"Decatur, AL",152680
27620,"Jefferson City, MO",151145
25260,"Hanford-Corcoran, CA",150965
48660,"Wichita Falls, TX",150780
17660,"Coeur d'Alene, ID",150346
45500,"Texarkana, TX-AR",149769
33780,"Monroe, MI",149568
25620,"Hattiesburg, MS",148839
42140,"Santa Fe, NM",148686
21060,"Elizabethtown-Fort Knox, KY",148604
24300,"Grand Junction, CO",148513
20020,"Dothan, AL",148171
40580,"Rocky Mount, NC",148069
42680,"Sebastian-Vero Beach, FL",147919
22520,"Florence-Muscle Shoals, AL",146950
48540,"Wheeling, WV-OH",144198
39660,"Rapid City, SD",144134
19140,"Dalton, GA",143781
46660,"Valdosta, GA",142875
34900,"Napa, CA",142456
26140,"Homosassa Springs, FL",141058
26820,"Idaho Falls, ID",139747
22380,"Flagstaff, AZ",139097
34060,"Morgantown, WV",138176
30140,"Lebanon, PA",137067
29100,"La Crosse-Onalaska, WI-MN",136985
27780,"Johnstown, PA",136411
44220,"Springfield, OH",135959
48140,"Wausau, WI",135868
12980,"Battle Creek, MI",134314
30860,"Logan, UT-ID",133857
49020,"Winchester, VA-WV",133836
41900,"San Germ¨¢n, PR",132660
25500,"Harrisonburg, VA",131131
30020,"Lawton, OK",130644
27180,"Jackson, TN",129682
13900,"Bismarck, ND",129517
25220,"Hammond, LA",128755
27860,"Jonesboro, AR",128394
38340,"Pittsfield, MA",127828
24020,"Glens Falls, NY",126918
41140,"St. Joseph, MO-KS",126880
16060,"Carbondale-Marion, IL",126828
43420,"Sierra Vista-Douglas, AZ",126427
35100,"New Bern, NC",126245
11020,"Altoona, PA",125593
43300,"Sherman-Denison, TX",125467
24140,"Goldsboro, NC",124132
13220,"Beckley, WV",122507
34580,"Mount Vernon-Anacortes, WA",121846
31900,"Mansfield, OH",121707
17420,"Cleveland, TN",120864
10540,"Albany, OR",120547
44420,"Weirton-Steubenville, WV-OH",120512
48260,"Staunton-Waynesboro, VA",120512
41660,"San Angelo, TX",119659
45540,"The Villages, FL",118891
22140,"Farmington, NM",118737
29940,"Lawrence, KS",118053
48060,"Watertown-Fort Drum, NY",117635
36980,"Owensboro, KY",117463
34620,"Muncie, IN",116852
34100,"Morristown, TN",116642
48300,"Wenatchee, WA",116178
48700,"Williamsport, PA",116048
15260,"Brunswick, GA",116003
11500,"Anniston-Oxford-Jacksonville, AL",115620
43100,"Sheboygan, WI",115569
33540,"Missoula, MT",114181
15680,"California-Lexington Park, MD",111413
33140,"Michigan City-La Porte, IN",110884
28100,"Kankakee, IL",110879
44940,"Sumter, SC",107480
19500,"Decatur, IL",107303
30340,"Lewiston-Auburn, ME",107233
13020,"Bay City, MI",105659
27060,"Ithaca, NY",104926
30620,"Lima, OH",104425
31020,"Longview, WA",103468
23460,"Gadsden, AL",103057
24220,"Grand Forks, ND-MN",102449
23900,"Gettysburg, PA",102295
22540,"Fond du Lac, WI",101973
19060,"Cumberland, MD-WV",99979
47020,"Victoria, TX",99913
21820,"Fairbanks, AK",99631
42700,"Sebring, FL",99491
31860,"Mankato-North Mankato, MN",99134
32420,"Mayag¨¹ez, PR",98661
31740,"Manhattan, KS",98545
16020,"Cape Girardeau, MO-IL",97534
26300,"Hot Springs, AR",97177
20220,"Dubuque, IA",97125
16940,"Cheyenne, WY",97121
40660,"Rome, GA",96504
11180,"Ames, IA",96021
36140,"Ocean City, NJ",94727
38220,"Pine Bluff, AR",93696
37620,"Parkersburg-Vienna, WV",92332
18700,"Corvallis, OR",87572
21300,"Elmira, NY",87071
14100,"Bloomsburg-Berwick, PA",85229
24260,"Grand Island, NE",85066
24420,"Grants Pass, OR",84745
38540,"Pocatello, ID",83744
33220,"Midland, MI",83632
29020,"Kokomo, IN",82556
24500,"Great Falls, MT",82278
16220,"Casper, WY",82178
18020,"Columbus, IN",81162
25020,"Guayama, PR",80581
25980,"Hinesville, GA",80198
19180,"Danville, IL",79282
47460,"Walla Walla, WA",64282
30300,"Lewiston, ID-WA",62153
16180,"Carson City, NV",54521
